sample_id,stratum,orig_idx,cityname,state,price,square_feet,bedrooms,bathrooms,amenity_count,price_vs_zori_ratio,snorkel_proba_scam,snorkel_label,source,has_photo,lfs_fired,title,body,true_label,note
106,hunter_freeform_low,27239,Englewood,FL,800.0,600,1.0,1.0,1,0.4988548467594584,0.3300081929784342,0,RentDigs.com,Yes,(computed),"Great location for this One BR, One BA 1/2 duplex.","It's near McCall, a little south of Dearborn and a few blocks west of Indiana. The rent includes water/sewer, lawn care and a washer / dryer is provided. Has a large private backyard as well.",not_scam,Hunter 1 candidate but in inherently cheap market — local prices match
107,hunter_freeform_low,67715,Atlanta,GA,500.0,500,1.0,1.0,1,0.4694800359580574,0.5,-1,RentDigs.com,Yes,(computed),One BR House - Renovated studio apartment includes separate entrance.,"Off-street parking, fresh paint. granite counter tops, new floors, and carport. Cats not allowed, Smaller dogs allowed. Close to dining and shops, bright, gas stove, trash included.",not_scam,Hunter 1 candidate but in inherently cheap market — local prices match
108,hunter_freeform_low,81669,Kansas City,MO,400.0,620,1.0,1.0,1,0.475922542304028,0.3300081929784342,0,RentDigs.com,No,(computed),Apartment for rent in Kansas City. Pet OK!,"This 1 beds one baths unit will suit your needs . twelve to 36 mons. Refrigerator, Oven/Range. Close to dining and shops, bright, gas stove, trash included.",not_scam,Hunter 1 candidate but in inherently cheap market — local prices match
109,hunter_freeform_low,84203,Pontiac,MI,775.0,900,2.0,1.0,1,0.4714967300577198,0.3300081929784342,0,RentDigs.com,Yes,(computed),Apartment only for $775/mo. You Can Stop Looking Now!,"three Beds Ranch with Large Kitchen - Very cute 2 beds, one baths ranch conveniently located. Large kitchen and living room. Nicely maintained with fresh paint throughout. Hard wood floors throughout.",not_scam,Hunter 1 candidate but in inherently cheap market — local prices match
110,hunter_freeform_low,48755,Hawthorne,CA,1100.0,350,0.0,1.0,3,0.4275984253983462,0.5444637651307022,1,RentDigs.com,Yes,(computed),Prominence Apartments Studio Luxury Apartment Homes,"Studio unit available with 1 Baths Cerise. Unit C, horne Unit has stove and comes with one carport parking space. Laundry facilities on-site, pool and Jacuzzi, BBQ's. Utilities paid $1, 100 per month, $1, 000 secure Deposit, $ 25 Application fee.",not_scam,Hunter 1 candidate but in inherently cheap market — local prices match
111,hunter_freeform_low,8701,Dallas,TX,580.0,800,1.0,1.0,0,0.4475176221639423,0.3300081929784342,0,RentDigs.com,Thumbnail,(computed),"Exceptional Location, Incomparable Service. Dog OK!","Our community may be small in size, but it's our extra-large apartment homes combined with our staff's individual attention and commitment to service that makes us grand. Square footage range: 800 - 800.",not_scam,Hunter 1 candidate but in inherently cheap market — local prices match
112,hunter_freeform_low,68505,Charlottesville,VA,685.0,650,1.0,1.0,1,0.4914621534898294,0.5,-1,RentDigs.com,Yes,(computed),apartment #C-Leasing for . $685/mo,"- Huge one beds, 1 baths apartment located within walkable distance of Lambeth field. Great rate and includes water, sewer, trash, and heating. Dedicated parking for residents ofU-. Sorry, no pets. No Pet-friendly.",not_scam,Hunter 1 candidate but in inherently cheap market — local prices match
113,hunter_freeform_low,79650,Memphis,TN,375.0,900,1.0,1.0,0,0.4609404182046786,0.3300081929784342,0,RentDigs.com,No,(computed),"Gorgeous Memphis, One BR, One BA. $375/mo",Nice peaceful property ready for rent. now to schedule appointment. Application: Unfurnished.,not_scam,Hunter 1 candidate but in inherently cheap market — local prices match
114,hunter_freeform_low,24909,Cincinnati,OH,475.0,515,1.0,1.0,0,0.493206565766552,0.5,-1,RentDigs.com,Yes,(computed),"Gorgeous Cincinnati, One BR, One BA. $475/mo","Mt. Auburn Multi-Family, 1 Beds, Lower Level, Cloths washer and drier area, Gas Furnace/Stove, Tenant Pays Gas/Electric and on Bus Line. $20 to Process Credit and Background Check. UNIT HAS BEEN UPGRADED FROM Carpet to ceramic tile.",not_scam,Hunter 1 candidate but in inherently cheap market — local prices match
115,hunter_freeform_low,3133,Houston,TX,780.0,602,1.0,1.0,1,0.4666346426286732,0.5,-1,RentLingo,Thumbnail,(computed),One BR 8282 Cambridge,"Contact us for a FREE apartment search and up to $200 rebate! An expert agent will match properties with your exact search criteria while you search from home.Harvest Hill is a gated, reddish brick complex with reasonably well maintained exteriors.",not_scam,Hunter 1 candidate but in inherently cheap market — local prices match
116,hunter_freeform_low,6188,Houston,TX,565.0,757,1.0,1.0,9,0.3380109911348723,0.7156567373947067,1,RentLingo,Thumbnail,(computed),One BR 8700 Gustine Ln,This sprawling community has numerous brightly colored buildings spread over 2 blocks. There is on-going renovation in some of the shared public areas. Units are showing some signs of wear and tear but are fairly well maintained.,not_scam,Hunter 1 candidate but in inherently cheap market — local prices match
117,hunter_freeform_low,51523,Houston,TX,750.0,725,2.0,1.0,2,0.4623266269215982,0.3300081929784342,0,tenantcloud,Thumbnail,(computed),Riverside Terrace Apartment,Located near the medical center. Close to majority of City venues. Security cameras through out the property.,not_scam,Hunter 1 candidate but in inherently cheap market — local prices match
