sample_id,stratum,orig_idx,cityname,state,price,square_feet,bedrooms,bathrooms,amenity_count,price_vs_zori_ratio,snorkel_proba_scam,snorkel_label,source,has_photo,lfs_fired,title,body,true_label,note
141,hunter_freeform_expensive,87931,Southfield,MI,860.0,900,2.0,1.0,2,0.4163624978566996,0.3300081929784342,0,RentDigs.com,Yes,(computed),Over 900 sf in Southfield,"Square footage: 900 sq. feet, unit number: 230. At Riverstone Apartments, located in Southfield, MI, we feature stylishly designed 1 and 2 beds apartment homes. We offer a generous number of amenities including an outdoor pool, beautiful ct. yard, club house, laundry facilities and more. Resident satisfaction is our top Apartments. Each of our professional on-site staff is dedicated to serving your needs and we provide simple to use on-line services that are quick, reliable and secure so you can pay rent or make a maintenance own convenience. We also have short term lease options available and we are pets allowed! Located centrally near US 24/Telegraph and M-5, we are minutes from downtown Detroit, Farmington Hills, and Novi. We are sure you will want to make Riverstone Apartments the tohome. to schedule your tour today! We allow two pets max per unit, and only cats and dogs are allowed. There is a $350 non-refundable pet deposit, and pet rent is $25/month per pet.",not_scam,"Hunter 1.5 candidate but legit small landlord, per-room rental, or moderate-cost area"
142,hunter_freeform_expensive,9022,Whittier,CA,1225.0,616,1.0,1.0,2,0.4880299341019544,0.3300081929784342,0,RentDigs.com,Yes,(computed),"Charming One BR, One BA","Uptown - 1bd one bathrooms - This 616 one beds & 1 baths apartment is located in uptown, bordered by the 605 freeway to the west and Turnbull Canyon to the North., This is a downstairs unit with new hardwood flooring and wall-unit a/c. This complex features on-site laundry and water & trash is paid for by owner. Dedicated parking stall provided. Appliances included to tenant are stove/oven., This apartment is located in the City Elementary School District: Elementary School - Longfellow Elementary, Middle School - Walter F. Dexter Middle School, High School - High School, This unit is within walkable distance to many shopping and dining areas as well as Broadway Park, Founders Memorial Park and Farmers Market Go to: to apply. Application fee: $35. 00, Rent $1, 225. 00, Deposit, on-site manager: Anthony Collazo.",not_scam,"Hunter 1.5 candidate but legit small landlord, per-room rental, or moderate-cost area"
143,hunter_freeform_expensive,25145,Hawthorne,CA,1225.0,450,0.0,1.0,3,0.4761891555572491,0.5,-1,RentDigs.com,Thumbnail,(computed),Studio Apartment in Quiet Building - Hawthorne,"Spacious units with many upgrades such as fresh two-tone paint, cabinets totally redone, granite, glass tile back-splash, laminated floors, tile, and hard wood floors. Sparkling pool on-site laundry facilities in a gated building. ALL UTILITIES PAID! Camille, Cell.",not_scam,"Hunter 1.5 candidate but legit small landlord, per-room rental, or moderate-cost area"
144,hunter_freeform_expensive,87870,Playa Del Rey,CA,1395.0,400,,1.0,3,0.4884005766542051,0.4803002135753265,0,RentDigs.com,Yes,(computed),"Rey private ""GUEST ROOM"" 1/2 mile from beach","If this is a fit for you, it's a great value. Near the beach for great air and mild temperatures year around. This is not a single or bachelor. It's a ""Guest Room"". There is NO KITCHEN. PRIVATE ENTRY. It has a microwave and refrigerator/freezer. A built in desk. Spacious bathroom, a FRAME-LESS shower door and a RAIN shower head in a large tall shower. No bathtub. Built in storage and counter top. Also a massive closet with some built in's. Flooring is all wood grain look ceramic tile planks for easy maintenance. Private garden entrance. Bedroom picture window has cellular shades and looks out onto a private brick patio and planted hillside. Has a Casablanca fan/light. No extra storage and parking is on the only. Walk to the beach, coastal bike trail, many restaurants, shops and nightlife. Close to LMU, PLAYA, OTIS, LAX, DEL REY &. Utilities paid. Internet not paid. 12 mnth LEASE MIN. Cats not allowed, Dogs not allowed.",not_scam,"Hunter 1.5 candidate but legit small landlord, per-room rental, or moderate-cost area"
145,hunter_freeform_expensive,79915,Miami,FL,950.0,650,1.0,1.0,1,0.4697210984128058,0.4181908691903267,0,GoSection8,Thumbnail,(computed),1740 NW 1st Pl 4,"Gorgeous recently remodeled 1 beds apartment These unit are presently being updated, If interested please call 954-767-XXXX ask to speak with Ms. Hope . Please make note that a non refundable application fee is required per adult. And pets are allowed with payment of a pet deposit that is non refundable. (Pets are allowed with a $300 pet deposit) For more properties like this visit GoSection8.com.",not_scam,"Hunter 1.5 candidate but legit small landlord, per-room rental, or moderate-cost area"
146,hunter_freeform_expensive,38193,Auburndale,MA,1000.0,2500,5.0,2.5,4,0.4321880290119455,0.4803002135753265,0,RentDigs.com,Yes,(computed),Five BR Apartment - Large & Bright,"This is a private huge bedroom with 1 parking in a 5 beds apartment. Share this wonderful apartment with four working professionals and a cat. luxurious renovation in Victorian mansion! Huge apartments with large sized bedrooms. 1st Floor consists of living room, dedicated dining area room, spare room and kitchen. Remodeled kitchen with granite countertop and. second floor consists of 3 spacious beds and one bathrooms. Plenty of basement storage. Very close to commuter rail, near stop on the Green line, easy to Mass Pike and 128. Wood floors, newer windows, new gas heating & hot water system, new air conditioned system. Gorgeous decorative fireplace. Ample parking three spaces. Plenty of basement storage. Very close to commuter rail, near stop on the Green line, easy to Mass Pike and 128. Easy to show and.",not_scam,"Hunter 1.5 candidate but legit small landlord, per-room rental, or moderate-cost area"
147,hunter_freeform_expensive,35057,Los Angeles,CA,1275.0,450,1.0,1.0,2,0.455754541496878,0.3300081929784342,0,RentDigs.com,Yes,(computed),Charming One BR/One BA in East LA. Street parking!,"$1275 - Yeah Close to all freeways and downtown. 2nd story unit. Utilities paid. Comes with stove and fridge. Plenty of windows. Wood flooring. Walkable distance to parks and restaurants. Bike to metro stops. Always plenty of onstreet parking. Deposit: $1300 Depending on your credit Application Fee: $22 Per adult. No exceptions 2 person max. . Income 3x Rent. Minimum 620 credit score. Proof of employment required two months of pay stubs, bank account or 2 yrs tax returns. Do not.",not_scam,"Hunter 1.5 candidate but legit small landlord, per-room rental, or moderate-cost area"
148,hunter_freeform_expensive,68117,Boonton,NJ,1140.0,840,1.0,1.0,0,0.4857775541576709,0.3300081929784342,0,RentDigs.com,Yes,(computed),"Boonton, prime location One BR, Apartment","Boonton NJ - Clean, peaceful and well maintained apartments, with private entrances. Newly remodeled kitchens and bathrooms. Spacious living room and bedrooms, with plenty of closet space. On-site laundry facility & dedicated parking Attentive maintenance staff with 24hr onemergency service. three Blocks from Interstate 287, and easy walk to shopping centers.",not_scam,"Hunter 1.5 candidate but legit small landlord, per-room rental, or moderate-cost area"
149,hunter_freeform_expensive,85435,Birmingham,MI,900.0,750,1.0,1.0,5,0.4357281954314298,0.4803002135753265,0,RentDigs.com,Yes,(computed),"300 deposit, $30 monthly per cat no more than 2 cats.","Pets. Recently remodeled open floor plans, Cloths washer and drier Connections (in townhomes) only, Private Entrances and patios in townhomes only, Upgraded granite countertops in some homes, Expansive Living Room Window, Cozy Woodburning Fireplace, Custom Fit Vertical Blinds, Large Designer Mirrored Closets, Fullsize Basements, Ct. yard Views and Private Terrace, Additonal Storage, Private parking spot, Lush Mature Landscape, 24-hr. Emergency Maintenance, *Stainless steel Steal Appliances, *Microwave, *Contemporary Lighting, *Vinyl Wood Plank Flooring. Sheltered parking, Emergency Maintenance, Added storage, Highspeed internet Access, Laundry Facility, Public Transportation, Carport, On Site Maintenance, Pet Friendly.",not_scam,"Hunter 1.5 candidate but legit small landlord, per-room rental, or moderate-cost area"
150,hunter_freeform_expensive,16807,Whittier,CA,1225.0,616,1.0,1.0,2,0.4880299341019544,0.3300081929784342,0,RentDigs.com,Thumbnail,(computed),One Spacious BR in Whittier. Will Consider!,"Uptown - 1bd one bathrooms - This 616 one beds & 1 baths apartment is located in uptown, bordered by the 605 freeway to the west and Turnbull Canyon to the North. This is a downstairs unit with new hard wood floors and wall-unit air conditioned. This complex features on-site laundry and water & trash is paid for by owner. Dedicated parking stall provided. Appliances included to tenant are stove/oven. This apartment is located in the City Elementary School District: Elementary School - Longfellow Elementary Middle School - Walter F. Dexter Middle School High School - High School This unit is within walkable distance to many shopping and dining areas as well as Broadway Park, Founders Memorial Park and Farmers Market Application fee: $35 Rent $1, 225 Deposit $ 1, 225. : Anthony Collazo.",not_scam,"Hunter 1.5 candidate but legit small landlord, per-room rental, or moderate-cost area"
